ts_event,JKHY_actual,PCG_actual,JKHY_predicted,PCG_predicted,vol_JKHY,vol_change_JKHY,vol_std_JKHY,vol_PCG,vol_change_PCG,vol_std_PCG,JKHY_trade,PCG_trade
2024-04-01 16:14:00+00:00,0.0004090577120588726,-0.00030298439862134623,-3.728322074741063e-05,1.1801417098828762e-05,7.637481978693947e-05,4.825778140767772e-07,1.2396825747880676e-05,2.2775302260442886e-05,-3.0374146619747516e-08,2.2841332232773057e-06,nan,nan
2024-04-01 16:15:00+00:00,-0.0005259620844155761,0.0,0.00011433995448654785,3.2674881868898926e-06,7.679205838757728e-05,4.172386006378025e-07,1.4159461761154788e-05,2.2613563902853372e-05,-1.6173835758951353e-07,2.275488907176307e-06,nan,nan
2024-04-01 16:16:00+00:00,0.002976800680618814,0.000302984398621356,-0.00040146949608061436,-1.0051029411676005e-05,0.00012494676107535402,4.815470268777674e-05,1.454173472952525e-05,2.2967004398354977e-05,3.5344049550160435e-07,2.2140842629720385e-06,P,nan
2024-04-01 16:19:00+00:00,-0.0018667605467733136,-0.0006060606246114632,0.00021233409801211953,4.4751566219603436e-05,0.000129117745968301,4.170984892946992e-06,1.5031227250276411e-05,2.405779957323426e-05,1.0907951748792823e-06,2.160765570546835e-06,C,nan
2024-04-01 16:20:00+00:00,0.0,-0.0006064281568504504,-4.9158812294895266e-05,2.5263784886367832e-05,0.00012874446270770405,-3.732832605969627e-07,1.545687305377002e-05,2.426235494790185e-05,2.0455537466759053e-07,2.0584381744069416e-06,nan,nan
2024-04-01 16:23:00+00:00,5.8389046231541774e-05,0.0021208915691376296,4.7130817098105795e-05,-9.373923733543664e-05,0.0001289158547037372,1.7139199603316297e-07,1.5870818827849714e-05,3.288470833768116e-05,8.62235338977931e-06,2.654781333256477e-06,nan,P
2024-04-01 16:24:00+00:00,0.00014595770171717417,0.0006051437401008658,-1.1456427260361768e-05,-2.9934586863516034e-05,0.00012885711096308382,-5.8743740653392556e-08,1.64392419856138e-05,3.3586094503164835e-05,7.013861654836764e-07,3.1230094372689967e-06,nan,nan
2024-04-01 16:26:00+00:00,0.00014593640117553094,-0.0009078529901798939,-5.01233486914997e-05,1.686415615721225e-05,0.000129314625737532,4.5751477444817856e-07,1.6989850806596663e-05,3.3664696883726894e-05,7.860238056205902e-08,3.457159032734753e-06,nan,nan
2024-04-01 16:29:00+00:00,0.0005251947717954932,0.000605326894996941,2.927320252452761e-05,-5.35350017458441e-05,0.0001290061775880422,-3.084481494897921e-07,1.747392401394777e-05,3.3098628227905895e-05,-5.660686558209993e-07,3.748668419262028e-06,nan,nan
2024-04-01 16:33:00+00:00,5.8337951770958827e-05,0.0006049606960061281,-4.4377228496390526e-06,3.737651646386898e-05,0.0001285639885170288,-4.421890710133963e-07,1.787415862321163e-05,3.3007077597844746e-05,-9.155063006114895e-08,3.983021485342118e-06,nan,nan
